enzid	name
7867	hi015
1795	hi015
29890	hi015
23132	hi015
51368	hi015
2912	hi015
9136	hi015
118442	hi015
57060	hi015
84836	hi015
6159	hi015
1849	hi015
211	hi015
80335	hi015
8314	hi015
23166	hi015
64943	hi015
55193	hi015
26354	hi015
28972	hi015
6787	hi015
3697	hi015
3699	hi015
3700	hi015
51460	hi015
5580	hi015
7086	hi015
55802	hi015
776	hi015
93973	hi015
55799	hi015
57408	hi015
7474	hi015
26059	hi015
50650	hi015
54756	hi015
8820	hi015
26060	hi015
142686	hi015
201625	hi015
378	hi015
201627	hi015
7871	hi015
2317	hi015
5162	hi015
200845	hi015
200844	hi015
2272	hi015
5793	hi015
55079	hi015
8618	hi015
80145	hi015
6314	hi015
9861	hi015
166336	hi015
56999	hi015
26018	hi015
84541	hi015
8801	hi015
407738	hi015
7110	hi015
9039	hi015
10550	hi015
23150	hi015
4286	hi015
27086	hi015
317649	hi015
60675	hi015
23429	hi015
151987	hi015
23024	hi015
5067	hi015
6092	hi015
6091	hi015
2632	hi015
253559	hi015
25978	hi015
5449	hi015
3355	hi015
8545	hi015
55279	hi015
2042	hi015
415117	hi015
200895	hi015
63899	hi015
285220	hi015
56650	hi015
1371	hi015
10402	hi015
1295	hi015
11259	hi015
55773	hi015
9868	hi015
25890	hi015
57092	hi015
27107	hi015
6152	hi015
79598	hi015
64332	hi015
131368	hi015
214	hi015
868	hi015
56987	hi015
50852	hi015
55211	hi015
25945	hi015
10225	hi015
29114	hi015
4345	hi015
64422	hi015
151887	hi015
55779	hi015
54847	hi015
205717	hi015
523	hi015
254887	hi015
1814	hi015
26137	hi015
2596	hi015
4045	hi015
152404	hi015
8702	hi015
10063	hi015
8856	hi015
2932	hi015
116064	hi015
11167	hi015
3081	hi015
2960	hi015
9515	hi015
10721	hi015
51725	hi015
3059	hi015
6565	hi015
846	hi015
131076	hi015
54554	hi015
3836	hi015
54437	hi015
10954	hi015
26984	hi015
111	hi015
201562	hi015
4638	hi015
54763	hi015
8997	hi015
3693	hi015
57493	hi015
8723	hi015
114885	hi015
28999	hi015
4171	hi015
29927	hi015
8607	hi015
60678	hi015
2624	hi015
6184	hi015
7879	hi015
79825	hi015
2815	hi015
7555	hi015
8930	hi015
55764	hi015
6010	hi015
23023	hi015
30849	hi015
27032	hi015
131870	hi015
131034	hi015
23317	hi015
51554	hi015
66000	hi015
8419	hi015
11073	hi015
7018	hi015
51560	hi015
6259	hi015
25847	hi015
339855	hi015
2047	hi015
5096	hi015
10274	hi015
4690	hi015
53833	hi015
8403	hi015
51163	hi015
25852	hi015
22808	hi015
80321	hi015
5291	hi015
9276	hi015
5947	hi015
349565	hi015
64084	hi015
55186	hi015
92369	hi015
253461	hi015
5922	hi015
483	hi015
7029	hi015
54464	hi015
545	hi015
5357	hi015
7220	hi015
344838	hi015
285195	hi015
205428	hi015
5352	hi015
5359	hi015
84107	hi015
7545	hi015
1360	hi015
6596	hi015
84343	hi015
1356	hi015
4071	hi015
7104	hi015
25937	hi015
11342	hi015
5217	hi015
9819	hi015
27230	hi015
83939	hi015
6478	hi015
7401	hi015
116931	hi015
29909	hi015
53836	hi015
53829	hi015
285313	hi015
4154	hi015
5028	hi015
5912	hi015
170506	hi015
4311	hi015
9197	hi015
8833	hi015
7881	hi015
25976	hi015
57018	hi015
5806	hi015
6474	hi015
51319	hi015
4291	hi015
56925	hi015
654502	hi015
29970	hi015
57560	hi015
10051	hi015
3840	hi015
80117	hi015
151742	hi015
8706	hi015
22865	hi015
590	hi015
11235	hi015
5274	hi015
55892	hi015
344658	hi015
7095	hi015
26996	hi015
80012	hi015
5584	hi015
6498	hi015
56648	hi015
6514	hi015
23043	hi015
5337	hi015
64778	hi015
2693	hi015
1894	hi015
22871	hi015
254827	hi015
79718	hi015
10242	hi015
5290	hi015
51193	hi015
55669	hi015
59345	hi015
86	hi015
8975	hi015
339829	hi015
8087	hi015
131118	hi015
6657	hi015
23200	hi015
54165	hi015
56922	hi015
23101	hi015
89857	hi015
54800	hi015
10057	hi015
8893	hi015
1857	hi015
1173	hi015
55324	hi015
10195	hi015
94032	hi015
5708	hi015
1981	hi015
131408	hi015
1181	hi015
7066	hi015
